year;title;author_lastname;author_firstname;gender;pub_year;pub_year_clean;fantasy;epoch;BW;BY;BE;BB;HB;HH;HE;MV;NI;NW;RP;SL;SN;ST;SH;TH
2017;Der Sandmann;Hoffmann;E.T.A.;m;1816;1816;1;Romantik;;;;;1;;1;;;;;;;;;
2018;Der Sandmann;Hoffmann;E.T.A.;m;1816;1816;1;Romantik;;;;;;;1;;;;;;;;;
2019;Der Sandmann;Hoffmann;E.T.A.;m;1816;1816;1;Romantik;;;;;;;;;;1;;;;;;
2020;Der Sandmann;Hoffmann;E.T.A.;m;1816;1816;1;Romantik;;;;;;;;;;1;;;;;;
2021;Der Sandmann;Hoffmann;E.T.A.;m;1816;1816;1;Romantik;;;;;;;;;;1;;;;;;
2022;Der Sandmann;Hoffmann;E.T.A.;m;1816;1816;1;Romantik;;;;;;;1;;;;;;;;;
2023;Der Sandmann;Hoffmann;E.T.A.;m;1816;1816;1;Romantik;;;;;;;;;;;;;1;;;
2025;Der Sandmann;Hoffmann;E.T.A.;m;1816;1816;1;Romantik;;;;;;;1;;;;;;;;;
2026;Der Sandmann;Hoffmann;E.T.A.;m;1816;1816;1;Romantik;;;;;;;;;;;;;1;;;
2010;Der Sonntag, an dem ich Weltmeister wurde;Delius;Friedrich Christian;m;1994;1994;0;Gegenwartsliteratur;;;;;;1;;;;;;;;;;
2009;Der Spinnerin Nachtlied;Brentano;Clemens;m;1802;1802;0;Romantik;;;;;;;;;1;;;;;;;
2012;Der Spinnerin Nachtlied;Brentano;Clemens;m;1802;1802;0;Romantik;;;;;;;;;1;;;;;;;
2007;Der Steppenwolf;Hesse;Hermann;m;1927;1927;0;Expressionismus;;;;;;;;;;;;;1;;;
2009;Der Steppenwolf;Hesse;Hermann;m;1927;1927;0;Expressionismus;;;;;;;;;;;;;1;;;
2010;Der Steppenwolf;Hesse;Hermann;m;1927;1927;0;Expressionismus;;;;;;;;;;;;;1;;;
2011;Der Steppenwolf;Hesse;Hermann;m;1927;1927;0;Expressionismus;;;;;;;;;;;;;1;;;
2012;Der Steppenwolf;Hesse;Hermann;m;1927;1927;0;Expressionismus;;;;;;;;;;;;;1;;;
2019;Der Steppenwolf;Hesse;Hermann;m;1927;1927;0;Expressionismus;1;;;;;;;;;;;;;;;
2020;Der Steppenwolf;Hesse;Hermann;m;1927;1927;0;Expressionismus;1;;;;;;;;;;;;;;;
2021;Der Steppenwolf;Hesse;Hermann;m;1927;1927;0;Expressionismus;1;;;;;;;;;;;;;;;
2022;Der Steppenwolf;Hesse;Hermann;m;1927;1927;0;Expressionismus;1;;;;;;;;;;;;;;;
2021;Der Trafikant;Seethaler;Robert;m;2012;2012;0;Gegenwartsliteratur;1;;;;;;;;;;;;;;;
2022;Der Trafikant;Seethaler;Robert;m;2012;2012;0;Gegenwartsliteratur;1;;;;;;;;;1;;;;;;
2023;Der Trafikant;Seethaler;Robert;m;2012;2012;0;Gegenwartsliteratur;1;;;;;;;;;1;;;;;;
2024;Der Trafikant;Seethaler;Robert;m;2012;2012;0;Gegenwartsliteratur;;;;;;;;;;1;;;;;;
2025;Der Trafikant;Seethaler;Robert;m;2012;2012;0;Gegenwartsliteratur;;;;;;;;;;1;;;;;;
