"","title_original","author_lastname","author_firstname","pub_year","language_codes","series_first"
"17366","Nathan der Weise","Lessing","Gotthold Ephraim","2004","spa || ger","Textos fundamentales"
"17367","Nathan der Weise","Lessing","Gotthold Ephraim","2010","spa || ger","Textos literarios bilingües"
"17368","Die Verwandlung","Kafka","Franz","2014","ger","Textura"
"17369","Der goldne Topf","Hoffmann","E.T.A.","[2021]","ger","textura"
"17370","Die Verwandlung","Kafka","Franz","2014","ger","textura"
"17371","Der goldne Topf","Hoffmann","E.T.A.","2021","|| ger","textura"
"17372","Von morgens bis mitternachts","Kaiser","Georg","1994","fre || ger","Théâtre / Georg Kaiser"
"17373","Antigone","Anouilh","Jean","    ","nan","Théâtre français"
"17374","Woyzeck","Büchner","Georg","1973","ger","Théâtre ouvert: Texte-programme"
"17375","Iphigenie auf Tauris","Goethe","Johann Wolfgang","1977","ger","Théatre"
"17376","Leben des Galilei","Brecht","Bertolt","1972 || 1972","ger","Thalia"
"17377","Die Leiden des jungen Werthers","Goethe","Johann Wolfgang","2005","eng || ger","The Barnes & Noble library of essential reading"
"17378","Der Vorleser","Schlink","Bernhard","2004 || 2004","rus || ger","The bestseller"
"17379","Der blonde Eckbert","Tieck","Ludwig","1940","ger","The Century Modern Language Series"
"17380","Hamlet","Shakespeare","William","2021","|| eng","The Classic Tales with B. J. Harrison"
"17381","Ansichten eines Clowns","Böll","Heinrich","2010","eng || ger","The essential Heinrich Böll"
"17382","Die Dreigroschenoper","Brecht","Bertolt","[1994]","ger","The fantastic world of musical"
"17383","Kabale und Liebe","Schiller","Friedrich","1983","ger","The German library"
"17384","Irrungen, Wirrungen","Fontane","Theodor","1989","ger","The German library"
"17385","Iphigenie auf Tauris","Goethe","Johann Wolfgang","1993","eng || ger","The German library"
"17386","Vor Sonnenaufgang","Hauptmann","Gerhart","1994","eng || ger","The German library"
"17387","Tonio Kröger","Mann","Thomas","1999","eng || ger","The German library"
"17388","Der Untertan","Mann","Heinrich","1998","eng || ger","The German library"
"17389","Prinz Friedrich von Homburg","Kleist","Heinrich","1956","ger","The library of liberal arts"
"17390","Die Leiden des jungen Werthers","Goethe","Johann Wolfgang","2003","eng || ger","The miniature classics library"
"17391","Die Verwandlung","Kafka","Franz","2003","eng || ger","The miniature classics library"
"17392","Buddenbrooks","Mann","Thomas","1935","eng","The modern library"
"17393","Buddenbrooks","Mann","Thomas","1935","eng","The modern library"
"17394","Der Steppenwolf","Hesse","Hermann","1963","ger","The modern library of the world's best books"
"17395","Bekenntnisse des Hochstaplers Felix Krull","Mann","Thomas","1965","ger","The modern library of the world's best books"
"17396","Nach Mitternacht","Keun","Irmgard","2011","eng || ger","The neversink library"
"17397","Der ewige Spießer","Horváth","Ödön","2012","eng || ger","The neversink library"
"17398","Mario und der Zauberer","Mann","Thomas","1934","eng","The new Adelphi library"
"17399","Mario und der Zauberer","Mann","Thomas","1934","eng","The new Adelphi library"
"17400","Effi Briest","Fontane","Theodor","1976","ger","The Penguin classics"
"17401","Italienische Reise","Goethe","Johann Wolfgang","1970 || 1970","ger","The Penguin Classics"
"17402","Hamlet","Shakespeare","William","2008 || 2008","eng","The RSC Shakespeare"
"17403","Hamlet","Shakespeare","William","2008 || 2008","eng","The RSC Shakespeare"
"17404","Der Verschollene","Kafka","Franz","1996","eng || ger","The Schocken Kafka library"
"17405","Mathilde Möhring","Fontane","Theodor","1967","ger","The Scribner German Series"
"17406","Tauben fliegen auf","Abonji","Melinda Nadj","2022","eng || ger","The Seagull library of German literature"
"17407","Tauben fliegen auf","Abonji","Melinda Nadj","2014","eng || ger","The Swiss list"
"17408","Die Leiden des jungen Werthers","Goethe","Johann Wolfgang","1952","ger","The University of North Carolina studies in comparative literature"
"17409","Maria Stuart","Schiller","Friedrich","1996","eng || ger","The world's classics"
"17410","Dantons Tod","Büchner","Georg","1988","ger","The world's classics"
"17411","Woyzeck","Büchner","Georg","[1988]","ger","Theaterabende ... / Die Herisauer Bühne spielt: "
"17412","Top Dogs","Widmer","Urs","1997","ger","Theaterbibliothek"
"17413","Top Dogs","Widmer","Urs","2018","ger","Theaterbibliothek"
"17414","Top Dogs","Widmer","Urs","2024","ger","Theaterbibliothek"
"17415","Top Dogs","Widmer","Urs","2015","ger","Theaterbibliothek"
"17416","Medea","Euripides","nan","1982","ger","Theaterbibliothek"
"17417","Der Besuch der alten Dame","Dürrenmatt","Friedrich","2014","ger","Theaterpädagogisches Material - Materialheft"
"17418","Antigone","Anouilh","Jean","1965","ger","Theatertexte"
"17419","Hamlet","Shakespeare","William","1969","ger","Theatertexte"
"17420","Maria Stuart","Schiller","Friedrich","2001","gre || ger","Theatro Epikairot?ta"
"17421","Irrungen, Wirrungen","Fontane","Theodor","[2016]","ger","Theodor Fontane, Irrungen, Wirrungen"
"17422","Prinz Friedrich von Homburg","Kleist","Heinrich","1986","ger","Thorleif Dahls kulturbibliothek"
"17423","Die Leiden des jungen Werthers","Goethe","Johann Wolfgang","1977","ger","Tidens klassiker"
"17424","Die Leiden des jungen Werthers","Goethe","Johann Wolfgang","1988","swe || ger","Tidens klassiker"
"17425","Die Leiden des jungen Werthers","Goethe","Johann Wolfgang","1956","ger","Tidens tyska klassiker"
"17426","Aus dem Leben eines Taugenichts","Eichendorff","Joseph","1951","ger","Tidens tyska klassiker"
"17427","Michael Kohlhaas","Kleist","Heinrich","1950","ger","Tidens tyska klassiker"
"17428","Die Dreigroschenoper","Brecht","Bertolt","1950","swe","Tidens tyska klassiker"
"17429","Die Dreigroschenoper","Brecht","Bertolt","1950","swe","Tidens tyska klassiker"
"17430","Die Dreigroschenoper","Brecht","Bertolt","1957","ger","Tidens tyska klassiker"
"17431","Die Leiden des jungen Werthers","Goethe","Johann Wolfgang","1967","ger","Tidens tyska Klassiker"
"17432","Das Schloss","Kafka","Franz","Mayris 2016","tur || ger","Tima? yay?nlar? "
"17433","Woyzeck","Büchner","Georg","[2014]","fre || ger","Titres"
"17434","Leben des Galilei","Brecht","Bertolt","1983","ger","Tiyatro dizisi"
"17435","Mephisto","Mann","Klaus","1983","dut || ger","Toneelserie Publiekstheater"
"17436","Maria Stuart","Schiller","Friedrich","1991 || 1991","dut || ger","Toneelteksten / Het Nationaal Toneel"
"17437","Heldenplatz","Bernhard","Thomas","1991 || 1991","dut || ger","Toneelteksten"
"17438","Iphigenie auf Tauris","Goethe","Johann Wolfgang","1991 || 1991","dut || ger","Toneelteksten"
"17439","Im Westen Nichts Neues","Remarque","Erich Maria","2017","rum || ger","Top 10+ "
"17440","Der blonde Eckbert","Tieck","Ludwig","[1942]","ger","Trösteinsamkeit"
"17441","Die Judenbuche","Droste-Hülshoff","Annette","[1942]","ger","Trösteinsamkeit"
"17442","Die Marquise von O.","Kleist","Heinrich","[1942]","ger","Trösteinsamkeit"
"17443","Lenz","Büchner","Georg","[1942]","ger","Trösteinsamkeit"
"17444","Michael Kohlhaas","Kleist","Heinrich","[1942]","ger","Trösteinsamkeit"
"17445","Das Erdbeben in Chili","Kleist","Heinrich","[1943?]","ger","Trösteinsamkeit"
"17446","Aus dem Leben eines Taugenichts","Eichendorff","Joseph","[1943]","ger","Trösteinsamkeit"
"17447","Das Erdbeben in Chili","Kleist","Heinrich","[1943]","ger","Trösteinsamkeit"
"17448","Die Marquise von O.","Kleist","Heinrich","[1943]","ger","Trösteinsamkeit"
"17449","Mathilde Möhring","Fontane","Theodor","[1943]","ger","Trösteinsamkeit"
"17450","Peter Schlemihls wundersame Geschichte","Chamisso","Adelbert","[1943]","ger","Trösteinsamkeit"
"17451","Undine","de la Motte Fouqué","Friedrich","[1943]","ger","Trösteinsamkeit"
"17452","Das Marmorbild","Eichendorff","Joseph","[1944]","ger","Trösteinsamkeit"
"17453","Das Erdbeben in Chili","Kleist","Heinrich","1942","ger","Trösteinsamkeit"
"17454","Mathilde Möhring","Fontane","Theodor","1942","ger","Trösteinsamkeit ; Feldpostausg. "
"17455","Peter Schlemihls wundersame Geschichte","Chamisso","Adelbert","1942","ger","Trösteinsamkeit"
"17456","Das Marmorbild","Eichendorff","Joseph","1942","ger","Trösteinsamkeit"
"17457","Über das Marionettentheater","Kleist","Heinrich","2003","fre || ger","Traductions du XXI. siècle"
"17458","Die Leiden des jungen Werthers","Goethe","Johann Wolfgang","1963","ger","Traductions Hatier : Allemagne"
"17459","Der Steppenwolf","Hesse","Hermann","1947","ger","Traduit de"
"17460","Hiob","Roth","Joseph","1965","ger","Traduit de"
"17461","Der Steppenwolf","Hesse","Hermann","1971","ger","Traduit de ..."
"17462","Der Steppenwolf","Hesse","Hermann","1978","ger","Traduit de ..."
"17463","Der Hofmeister","Lenz","Jakob Michael Reinhold","1972","ger","Travaux"
"17464","Dantons Tod","Büchner","Georg","1953","|| ger","Travaux et mémoires des Instituts Français en Allemagne"
"17465","Effi Briest","Fontane","Theodor","1998","spa || ger","Trece lunas"
"17466","Woyzeck","Büchner","Georg","1946 || 1946","ger","Tribüne"
"17467","Woyzeck","Büchner","Georg","1946 || 1946","ger","Tribüne"
"17468","Die Blechtrommel","Grass","Günter","[2023]","alb || ger","Trilogjia e Danzigut"
"17469","In der Strafkolonie","Kafka","Franz","desembre del 2020","cat || ger","Trivium"
"17470","Dantons Tod","Büchner","Georg","1996","dut || ger","Trust toneel"
"17471","Bekenntnisse des Hochstaplers Felix Krull","Mann","Thomas","2007","chi || ger","Tuo ma si Man wen ji"
"17472","Die Judenbuche","Droste-Hülshoff","Annette","1948","ger","Turm-Bücher"
"17473","Das Muschelessen","Vanderbeke","Birgit","2013","eng || ger","Turning point series"
"17474","Peter Schlemihls wundersame Geschichte","Chamisso","Adelbert","1987","spa || ger","Tus libros"
"17475","Medea","Euripides","nan","[1941]","ger","Tusculum-Bücher"
"17476","Buddenbrooks","Mann","Thomas","1955","ger","Tutte le opere"
"17477","Buddenbrooks","Mann","Thomas","1964","ger","Tutte le opere"
"17478","Bekenntnisse des Hochstaplers Felix Krull","Mann","Thomas","1971","ger","Tutte le opere"
"17479","Professor Unrat","Mann","Heinrich","1993","est || ger","Tuum romaan"
"17480","Das Schloss","Kafka","Franz","1965","ger","Tvorba národov"
"17481","Bekenntnisse des Hochstaplers Felix Krull","Mann","Thomas","1959","ger","Tvorba národov"
"17482","Im Westen Nichts Neues","Remarque","Erich Maria","1990","ger","Twentieth century texts"
"17483","Der Besuch der alten Dame","Dürrenmatt","Friedrich","1996","ger","Twentieth century texts"
"17484","Die Physiker","Dürrenmatt","Friedrich","1966","ger","Twentieth-Century Texts"
"17485","Blüthenstaub","Hardenberg","Friedrich","[2016] || [2016]","ger","Typographische Bibliothek"
"17486","Deutschland. Ein Wintermärchen","Heine","Heinrich","2018 || 2018","ger","Typographische Bibliothek"
"17487","Brief des Lord Chandos","Hofmannsthal","Hugo","2014 || 2014","ger","Typographische Bibliothek"
"17488","Über das Marionettentheater","Kleist","Heinrich","2011 || 2011","ger || hun","Typographische Bibliothek"
"17489","In der Strafkolonie","Kafka","Franz","2012 || 2012","ger","Typographische Bibliothek"
"17490","Aus dem Leben eines Taugenichts","Eichendorff","Joseph","1946","ger","Tyrolia-Bibliothek : Gruppe Klassiker-Ausgaben"
"17491","Maria Stuart","Schiller","Friedrich","1966","ger","Tyske Digterværker"
"17492","Emilia Galotti","Lessing","Gotthold Ephraim","1947","ger","Tyske Digtervaerker"
"17493","Emilia Galotti","Lessing","Gotthold Ephraim","1947","ger","Tyske Digtervaerker"
"17494","Maria Stuart","Schiller","Friedrich","1952","ger","Tyske Digtervaerker"
"17495","Emilia Galotti","Lessing","Gotthold Ephraim","1965","ger","Tyske Digtervaerker"
"17496","Maria Stuart","Schiller","Friedrich","1969","ger","Tyske digtervaerker"
"17497","Leben des Galilei","Brecht","Bertolt","1972","ger","Tyske Forfattere"
"17498","Bahnwärter Thiel","Hauptmann","Gerhart","1963","ger","Tyske Frilæsningshæfter : C-hæfte"
"17499","Buddenbrooks","Mann","Thomas","1963","ger","Tyske Frilæsningshæfter : C-hæfte"
"17500","Professor Unrat","Mann","Heinrich","1976","ger","Uglebøkene"
"17501","Die Leiden des jungen Werthers","Goethe","Johann Wolfgang","1973","ger","Uglebøkene"
"17502","Vor Sonnenaufgang","Hauptmann","Gerhart","2005","ger","Ullstein"
"17503","Bahnwärter Thiel","Hauptmann","Gerhart","2006","ger","Ullstein"
"17504","Hamlet","Shakespeare","William","2000","ger || eng","Ullstein"
"17505","Irrungen, Wirrungen","Fontane","Theodor","2004","ger","Ullstein"
"17506","Effi Briest","Fontane","Theodor","2009","ger","Ullstein"
"17507","Effi Briest","Fontane","Theodor","2004","ger","Ullstein"
"17508","Räuberbande","Heinrich","Finn-Ole","1990","ger","Ullstein"
"17509","Im Westen Nichts Neues","Remarque","Erich Maria","1990","ger","Ullstein"
"17510","Im Westen Nichts Neues","Remarque","Erich Maria","1991","ger","Ullstein"
"17511","Im Westen Nichts Neues","Remarque","Erich Maria","1992","ger","Ullstein"
"17512","Antigone","Anouilh","Jean","1992","ger","Ullstein"
"17513","Antigone","Anouilh","Jean","1994","ger","Ullstein"
"17514","Antigone","Anouilh","Jean","1996","ger || fre","Ullstein"
"17515","Effi Briest","Fontane","Theodor","1994","ger","Ullstein"
"17516","Effi Briest","Fontane","Theodor","1995","ger","Ullstein"
"17517","Effi Briest","Fontane","Theodor","1996","ger","Ullstein"
"17518","Irrungen, Wirrungen","Fontane","Theodor","1994","ger","Ullstein"
"17519","Frau Jenny Treibel","Fontane","Theodor","1994","ger","Ullstein"
"17520","Frau Jenny Treibel","Fontane","Theodor","1996","ger","Ullstein"
"17521","Die Ratten","Hauptmann","Gerhart","1994","ger","Ullstein"
"17522","Die Ratten","Hauptmann","Gerhart","1996","ger","Ullstein"
"17523","Vor Sonnenaufgang","Hauptmann","Gerhart","1994","ger","Ullstein"
"17524","Vor Sonnenaufgang","Hauptmann","Gerhart","1995","ger","Ullstein"
"17525","Die Verwandlung","Kafka","Franz","1995","ger","Ullstein"
"17526","Bahnwärter Thiel","Hauptmann","Gerhart","1995","ger","Ullstein"
"17527","Das Marmorbild","Eichendorff","Joseph","1986","|| ger","Ullstein"
"17528","Die Furcht vor der Freiheit","Fromm","Erich","1988","|| ger","Ullstein"
"17529","Effi Briest","Fontane","Theodor","1986","ger","Ullstein"
"17530","Die Ratten","Hauptmann","Gerhart","1990","ger","Ullstein"
"17531","Die Ratten","Hauptmann","Gerhart","1991","ger","Ullstein"
"17532","Die Ratten","Hauptmann","Gerhart","1992","ger","Ullstein"
"17533","Die Ratten","Hauptmann","Gerhart","1993","ger","Ullstein"
"17534","Vor Sonnenaufgang","Hauptmann","Gerhart","1990","ger","Ullstein"
"17535","Vor Sonnenaufgang","Hauptmann","Gerhart","1991","ger","Ullstein"
"17536","Vor Sonnenaufgang","Hauptmann","Gerhart","1992","ger","Ullstein"
"17537","Vor Sonnenaufgang","Hauptmann","Gerhart","1993","ger","Ullstein"
"17538","Die Ratten","Hauptmann","Gerhart","1988","ger","Ullstein"
"17539","Vor Sonnenaufgang","Hauptmann","Gerhart","1989","ger","Ullstein"
"17540","Vor Sonnenaufgang","Hauptmann","Gerhart","1989","ger","Ullstein"
"17541","Im Westen Nichts Neues","Remarque","Erich Maria","1988","ger","Ullstein"
"17542","Im Westen Nichts Neues","Remarque","Erich Maria","1989","ger","Ullstein"
"17543","Im Westen Nichts Neues","Remarque","Erich Maria","[1962?]","ger","Ullstein"
"17544","Frau Jenny Treibel","Fontane","Theodor","1965","ger","Ullstein Bücher"
"17545","Berlin Alexanderplatz","Döblin","Alfred","1955","ger","Ullstein Bücher"
"17546","Irrungen, Wirrungen","Fontane","Theodor","[1955]","ger","Ullstein Bücher"
"17547","Im Westen Nichts Neues","Remarque","Erich Maria","1956","ger","Ullstein-Bücher"
"17548","Effi Briest","Fontane","Theodor","1967","ger","Ullstein-Bücher"
"17549","Klein Zaches genannt Zinnober","Hoffmann","E.T.A.","1967","|| ger","Ullstein-Bücher"
"17550","Mathilde Möhring","Fontane","Theodor","1969","ger","Ullstein-Bücher"
"17551","Im Westen Nichts Neues","Remarque","Erich Maria","1955","ger","Ullstein-Bücher"
"17552","Die Furcht vor der Freiheit","Fromm","Erich","1983","ger","Ullstein-Buch"
"17553","Die Ratten","Hauptmann","Gerhart","1980","ger","Ullstein-Buch"
"17554","Vor Sonnenaufgang","Hauptmann","Gerhart","1980","ger","Ullstein-Buch"
"17555","Der Vorleser","Schlink","Bernhard","1999","eng || ger","Ulverscroft large print"
"17556","Der Steppenwolf","Hesse","Hermann","2006","dut || ger","Ulysses classics"
"17557","Italienische Reise","Goethe","Johann Wolfgang","2002","fre || ger","Un double regard"
"17558","Professor Unrat","Mann","Heinrich","1979","ger","Ungar film library"
"17559","Die Leiden des jungen Werthers","Goethe","Johann Wolfgang","1957","ger","Ungar Paperbacks ; 2106"
"17560","Aus dem Leben eines Taugenichts","Eichendorff","Joseph","1964","ger","Ungar Paperbacks"
"17561","Nathan der Weise","Lessing","Gotthold Ephraim","1965","ger","Ungar paperbacks"
"17562","Emilia Galotti","Lessing","Gotthold Ephraim","1962","ger","Ungar paperbacks"
"17563","Iphigenie auf Tauris","Goethe","Johann Wolfgang","1963","ger","Ungar Paperbacks"
"17564","Kabale und Liebe","Schiller","Friedrich","2015","ger","ungekürzt und unbearbeitet... "
"17565","Kleiner Mann - was nun?","Fallada","Hans","[1953]","ger","Unicum-Reeks"
"17566","Tod in Venedig","Mann","Thomas","1947","fre","Univers"
"17567","Tod in Venedig","Mann","Thomas","1947","fre","Univers"
"17568","Maria Stuart","Schiller","Friedrich","1965","ger","Universale Cappelli"
"17569","Antigone","Anouilh","Jean","2023","ita || grc || ger","Universale economica"
"17570","Der Besuch der alten Dame","Dürrenmatt","Friedrich","1960","ger","Universale economica"
"17571","Buddenbrooks","Mann","Thomas","1968","ger","Universale economica"
"17572","Tonio Kröger","Mann","Thomas","1967","ger","Universale economica"
"17573","Jakob der Lügner","Becker","Jurek","1996","ita || eng","Universale economica Feltrinelli"
"17574","Homo faber","Frisch","Max","1997","ita || ger","Universale economica Feltrinelli"
"17575","Michael Kohlhaas","Kleist","Heinrich","1992","ita || ger","Universale economica Feltrinelli"
"17576","Die Leiden des jungen Werthers","Goethe","Johann Wolfgang","1994","ita || ger","Universale economica Feltrinelli"
"17577","Effi Briest","Fontane","Theodor","1993","ita || ger","Universale economica Feltrinelli"
"17578","Das Schloss","Kafka","Franz","1994","ita || ger","Universale economica Feltrinelli"
"17579","Mephisto","Mann","Klaus","2006","ita || ger","Universale economica Feltrinelli"
"17580","Katz und Maus","Grass","Günter","2009","ger","Universale economica Feltrinelli"
"17581","Die Blechtrommel","Grass","Günter","giugno 2015","ita || ger","Universale economica Feltrinelli"
"17582","Die Blechtrommel","Grass","Günter","1980","ger","Universale economico"
"17583","Emilia Galotti","Lessing","Gotthold Ephraim","1961","ger","Universale Einaudi"
"17584","Vor Sonnenaufgang","Hauptmann","Gerhart","1978","ger","University of North Carolina studies in the Germanic languages and literatures"
"17585","Die Jungfrau von Orleans","Schiller","Friedrich","1959","ger","University of North Carolina studies in the Germanic languages and literatures"
"17586","Die Jungfrau von Orleans","Schiller","Friedrich","1962","ger","University of North Carolina studies in the Germanic languages and literatures"
"17587","Die Leiden des jungen Werthers","Goethe","Johann Wolfgang","1992","spa || ger","Universo literario"
"17588","Mondnacht","Eichendorff","Joseph","1956","ger","Unser Lied : Chorblatt"
"17589","Das Marmorbild","Eichendorff","Joseph","1933","ger","Unsere Erzähler"
"17590","Das Marmorbild","Eichendorff","Joseph","1933","ger","Unsere Erzähler"
"17591","Das Marmorbild","Eichendorff","Joseph","[1917]","ger","Unsere Erzähler"
"17592","Die Judenbuche","Droste-Hülshoff","Annette","1922","ger","Unsere Erzähler"
"17593","Michael Kohlhaas","Kleist","Heinrich","1922","ger","Unsere Erzähler"
"17594","Die Judenbuche","Droste-Hülshoff","Annette","[1924] || [1924]","ger","Unsere Heimbücherei"
"17595","Die Jungfrau von Orleans","Schiller","Friedrich","[1928]","ger","Unsere Klassiker für die Volksbühne"
"17596","Maria Stuart","Schiller","Friedrich","[1926]","ger","Unsere Klassiker für die Volksbühne"
"17597","Die Räuber","Schiller","Friedrich","[1927]","ger","Unsere Klassiker für die Volksbühne"
"17598","Kabale und Liebe","Schiller","Friedrich","[1926]","ger","Unsere Klassiker für die Volksbühne"
"17599","Peter Schlemihls wundersame Geschichte","Chamisso","Adelbert","[1947]","ger","Unsere Meister-Erzähler"
"17600","Dantons Tod","Büchner","Georg","2013","ger","Unterrichtsmodelle Deutsch"
"17601","Verbrechen","Schirach","Ferdinand","2012","baq || ger","Uzta gorria"
"17602","Faserland","Kracht","Christian","2003","lav || ger","V?ja su?a klasika"
"17603","Transit","Seghers","Anna","1959","ger","Vıberovı rad"
"17604","Der Verschollene","Kafka","Franz","1997","lit || ger","Vagos modernioji klasika"
"17605","Heimsuchung","Erpenbeck","Jenny","2012","ger","Valahol Európában"
"17606","Der Verschollene","Kafka","Franz","2001","spa || ger","Valdemar clásicos"
"17607","Im Westen Nichts Neues","Remarque","Erich Maria","2000","est || ger","Valik väärtkirjandust"
"17608","Nathan der Weise","Lessing","Gotthold Ephraim","1955","ger","Van Schaik's Sammlung deutscher Schriftsteller"
"17609","Aus dem Leben eines Taugenichts","Eichendorff","Joseph","1951","ger","Van Schaik's Sammlung deutscher Schriftsteller"
"17610","In der Strafkolonie","Kafka","Franz","1962","ger","Varl?k büyük cep kitaplar? "
"17611","Die Verwandlung","Kafka","Franz","1967","ger","Varl?k büyük cep kitaplar? "
"17612","Im Westen Nichts Neues","Remarque","Erich Maria","1958","ger","Varl?k büyük cep kitaplar? "
"17613","Die Ratten","Hauptmann","Gerhart","1962","ger","Varl?k tiyatro serisi"
"17614","Die Verwandlung","Kafka","Franz","Kas?m 2014","tur || ger","Varl?k Yay?nlar? A.?. "
"17615","Der Steppenwolf","Hesse","Hermann","2000","rus || ger","Vavilonskaja biblioteka"
"17616","Aus dem Leben eines Taugenichts","Eichendorff","Joseph","1940","ger","Velhagen & Klasing : Deutsche Ausgaben"
"17617","Michael Kohlhaas","Kleist","Heinrich","1941","ger","Velhagen & Klasing, Deutsche Ausgaben"
"17618","Iphigenie auf Tauris","Goethe","Johann Wolfgang","1940","ger","Velhagen & Klasing, Deutsche Ausgaben"
"17619","Faust I","Goethe","Johann Wolfgang","1939","ger","Velhagen & Klasing, Deutsche Ausgaben"
"17620","Die Räuber","Schiller","Friedrich","1939","ger","Velhagen & Klasing[s] deutsche Ausgaben"
"17621","Kabale und Liebe","Schiller","Friedrich","1934","ger","Velhagen & Klasings deutsche Ausgaben"
"17622","Maria Magdalena","Hebbel","Friedrich","1930 [Ausg. 1929]","ger","Velhagen & Klasings deutsche Lesebogen"
"17623","Die Leiden des jungen Werthers","Goethe","Johann Wolfgang","[1932]","ger","Velhagen & Klasings deutsche Lesebogen"
"17624","Michael Kohlhaas","Kleist","Heinrich","1919","ger","Velhagen & Klasings Sammlung deutscher Ausgaben"
"17625","Ein Volksfeind","Ibsen","Henrik","1920","ger","Velhagen & Klasings Sammlung deutscher Ausgaben"
"17626","Die Leiden des jungen Werthers","Goethe","Johann Wolfgang","1921","ger","Velhagen & Klasings Sammlung deutscher Ausgaben"
"17627","Die Jungfrau von Orleans","Schiller","Friedrich","1918","ger","Velhagen & Klasings Sammlung deutscher Ausgaben"
"17628","Die Judenbuche","Droste-Hülshoff","Annette","1923","ger","Velhagen & Klasings Sammlung deutscher Ausgaben"
"17629","Aus dem Leben eines Taugenichts","Eichendorff","Joseph","1923","ger","Velhagen & Klasings Sammlung deutscher Ausgaben"
"17630","Iphigenie auf Tauris","Goethe","Johann Wolfgang","1917","ger","Velhagen & Klasings Sammlung deutscher Ausgaben"
"17631","Iphigenie auf Tauris","Goethe","Johann Wolfgang","1920","ger","Velhagen & Klasings Sammlung deutscher Ausgaben"
"17632","Iphigenie auf Tauris","Goethe","Johann Wolfgang","1943","ger","Velhagen & Klasings Sammlung deutscher Ausgaben"
"17633","Maria Stuart","Schiller","Friedrich","1920","ger","Velhagen & Klasings Sammlung deutscher Ausgaben"
"17634","Prinz Friedrich von Homburg","Kleist","Heinrich","1919","ger","Velhagen & Klasings Sammlung deutscher Ausgaben"
"17635","Emilia Galotti","Lessing","Gotthold Ephraim","1919","ger","Velhagen & Klasings Sammlung deutscher Ausgaben"
"17636","Nathan der Weise","Lessing","Gotthold Ephraim","1920","ger","Velhagen & Klasings Sammlung deutscher Ausgaben"
"17637","Italienische Reise","Goethe","Johann Wolfgang","1919","ger","Velhagen & Klasings Sammlung deutscher Ausgaben"
"17638","Italienische Reise","Goethe","Johann Wolfgang","1922","ger","Velhagen & Klasings Sammlung deutscher Ausgaben"
"17639","Hamlet","Shakespeare","William","1919","eng || ger","Velhagen & Klasings Sammlung französischer und englischer Schulausgaben : English authors : Ausgabe B, mit Anmerkungen in einem Anhange"
"17640","Hamlet","Shakespeare","William","1926","ger || eng","Velhagen & Klasings Sammlung französischer und englischer Schulausgaben : English authors : Ausgabe B, mit Anmerkungen in einem Anhange"
"17641","Hamlet","Shakespeare","William","1927","eng || ger","Velhagen & Klasings Sammlung französischer und englischer Schulausgaben : English authors : Ausgabe B, mit Anmerkungen in einem Anhange"
"17642","Transit","Seghers","Anna","1989","ger","Venècies"
"17643","Homo faber","Frisch","Max","2000 || 2000","rus || ger","Veršiny : Kollekcija"
"17644","Der Untertan","Mann","Heinrich","1969","ger","Veršyny svitovogo py?menstva"
"17645","Buddenbrooks","Mann","Thomas","1973","ger","Veršyny svitovogo py?menstva"
"17646","Emilia Galotti","Lessing","Gotthold Ephraim","1976","ger","Veršyny svitovogo pys'menstva"
"17647","Räuberbande","Heinrich","Finn-Ole","[1979]","ger","Veröffentlichung der Nationalen Forschungs- und Gedenkstätten der Klassischen Deutschen Literatur in Weimar"
"17648","Früh im Wagen","Mörike","Eduard","1979","ger","Veröffentlichung der Nationalen Forschungs- und Gedenkstätten der Klassischen Deutschen Literatur in Weimar"
"17649","Früh im Wagen","Mörike","Eduard","1984","ger","Veröffentlichung der Nationalen Forschungs- und Gedenkstätten der Klassischen Deutschen Literatur in Weimar"
"17650","Prometheus","Goethe","Johann Wolfgang","1987","ger","Veröffentlichung der Nationalen Forschungs- und Gedenkstätten der Klassischen Deutschen Literatur in Weimar"
"17651","Prometheus","Goethe","Johann Wolfgang","1990","ger","Veröffentlichung der Nationalen Forschungs- und Gedenkstätten der Klassischen Deutschen Literatur in Weimar"
"17652","Buddenbrooks","Mann","Thomas","1909","ger","Veröffentlichungen der Deutschen Buchgemeinschaft"
"17653","Peter Schlemihls wundersame Geschichte","Chamisso","Adelbert","c 1993","ger","Verbessere dein Deutsch"
"17654","Berlin Alexanderplatz","Döblin","Alfred","2005","nor || ger","Verdensbiblioteket"
"17655","Die Blechtrommel","Grass","Günter","2006","nor || ger","Verdensbiblioteket"
"17656","Buddenbrooks","Mann","Thomas","2008","nor || ger","Verdensbiblioteket"
"17657","Medea","Euripides","nan","2002","nor || grc","Verdensbiblioteket"
"17658","Das Schloss","Kafka","Franz","2009","nor || ger","Verdensbiblioteket"
"17659","Hamlet","Shakespeare","William","1940","ger","Vergleichende Texte zur Volkheitskunde : Fremdsprachliche Reihe"
"17660","Die Marquise von O.","Kleist","Heinrich","1991","fre || ger","Verso"
"17661","Michael Kohlhaas","Kleist","Heinrich","1991","fre || ger","Verso"
"17662","Michael Kohlhaas","Kleist","Heinrich","1983","ger","Verso"
"17663","Klein Zaches genannt Zinnober","Hoffmann","E.T.A.","1980","ger","Verso"
"17664","Aus dem Leben eines Taugenichts","Eichendorff","Joseph","1990","fre || ger","Verso"
